artist,title,spotify_uri
Ella Langley,Choosin' Texas,65DbTqJKhbwqYbZ1Okr0rc
Bruno Mars,Cha Cha Cha,6QletrrmpkUpeJkipX9pgf
Don Toliver,E85,3B4cjvGlPvyBLNG3AzEgkZ
Bruno Mars,Locked out of Heaven,5g7sDjBhZ4I3gcFIpkrLuI
Jin,Don’t Say You Love Me,27xkOIER6uDLKALIelHylZ
Arctic Monkeys,I Wanna Be Yours,5XeFesFbtLpXzIVDNQP22n
The Killers,Mr. Brightside,003vvx7Niy0yvhvHt4a68B
"Sean Paul, Keyshia Cole",(When You Gonna) Give It Up to Me - Radio Version,5nEdwtSv0qqeE0l4o1lR4q
"The Weeknd, JENNIE, Lily-Rose Depp","One Of The Girls (with JENNIE, Lily Rose Depp)",7CyPwkp0oE8Ro9Dd5CUDjW
Coldplay,Yellow,3AJwUDP919kvQ9QcozQPxg
Bruno Mars,God Was Showing Off,1sVBT215CDmVJvfy1E2OCU
Sabrina Carpenter,Espresso,2HRqTpkrJO5ggZyyK6NPWz
KATSEYE,Gabriela,1xOqGUkyxGQRdCvGpvWKmL
Fleetwood Mac,Dreams,0ofHAoxe9vBkTCp2UQIavz
Jimin,Who,7tI8dRuH2Yc6RuoTjxo4dU
"Peso Pluma, Tito Double P",dopamina,3e32UUqXzrI4g2y5kNZrwC
BLACKPINK,JUMP,5H1sKFMzDeMtXwND3V6hRY
"The Weeknd, Daft Punk",Starboy,7MXVkk9YMctZqd1Srtv4MB
Coldplay,Sparks,7D0RhFcb3CrfPuTJ0obrod
Harry Styles,As It Was,4Dvkj6JhhA12EX05fT7y2e
"ROSÉ, Bruno Mars",APT.,4wJ5Qq0jBN4ajy7ouZIV1c
Dominic Fike,White Keys,5ViLKrbyL3HD6wsq3AB9eI
Teddy Swims,Lose Control,17phhZDn6oGtzMe56NuWvj
"Gorillaz, De La Soul",Feel Good Inc.,0d28khcov6AiegSCpG5TuT
"Kendrick Lamar, SZA",All The Stars,3GCdLUSnKSMJhs4Tj6CV3s
Vance Joy,Riptide,2uXlHCUbq9OMUwx3hrk06o
Arctic Monkeys,505,58ge6dfP91o9oXMzq3XkIS
Daniel Caesar,Who Knows,6DH13QYXK7lKkYHSU88N48
sombr,undressed,0TFTAtCYhp2tQ9KcJIZb55
Bruno Mars,Why You Wanna Fight?,3Ac4AjYkqsvop2ydbSAhTX
Addison Rae,Fame is a Gun,7B3BwNecBhKvNwSMOOl7Gk
Linkin Park,In the End,60a0Rd6pjrkxjPbaKzXjfq
"Jung Kook, Latto",Seven (feat. Latto) (Explicit Ver.),2HRgqmZQC0MC7GeNuDIXHN
Bruno Mars,Dance With Me,1myZ6GQewhAzMH2dKtKSWK
Michael Jackson,Billie Jean,7J1uxwnxfQLu4APicE5Rnj
Nadhif Basalamah,kota ini tak sama tanpamu,13CwOTXUgBugeBByE9oIWb
Lord Huron,The Night We Met,5yJaXWIErrrsjQ3J0eR5aK
"Peso Pluma, Tito Double P",daño,136BeIIoBGrrU9fI1jbcDR
Bruno Mars,Just the Way You Are,7BqBn9nzAq8spo5e7cZ0dJ
Neton Vega,Pvta Luna,33MeEaRCeIQMSRyFTr5ZJU
Gracie Abrams,That’s So True,7ne4VBA60CxGM75vw0EYad
The Marías,No One Noticed,3siwsiaEoU4Kuuc9WKMUy5
BLACKPINK,Champion,43BJVWcBzHRIDaQCg7abnX
"Peso Pluma, Tito Double P",7 Mar,4lzo6zPM2paqyP8oBp3DOs
Don Toliver,Body,0FlcmZ13DGRmscCroro9GO
"The Weeknd, Playboi Carti",Timeless (feat Playboi Carti),0FIDCNYYjNvPVimz5icugS
Coldplay,Viva La Vida,1mea3bSkSGXuIRvnydlB5b
Lil Uzi Vert,What You Saying,7cjoZVmWe2xsGR4wcXiV2v
Bruno Mars,On My Soul,4i4BVY2JiH4mDSLIBdNGKD
Evanescence,Bring Me To Life,0COqiPhxzoWICwFCS4eZcp
Bruno Mars,When I Was Your Man,0B7wvvmu9EISAwZnOpjhNI
Empire Of The Sun,We Are The People,3zEN0ii6s4DHHBpnTp3RP7
"Don Omar, Lucenzo",Danza Kuduro,2a1o6ZejUi8U3wzzOtCOYw
Tame Impala,The Less I Know The Better,6K4t31amVTZDgR3sKmwUJJ
Olivia Dean,Nice To Each Other,7gKxCvTDWwV9wBhdeBbr3l
Chappell Roan,"Good Luck, Babe!",0WbMK4wrZ1wFSty9F7FCgu
Piche Kota,Bahagia Lagi,5tZaKZPJtiHh6teQfVEHB5
Olivia Dean,A Couple Minutes,312z6PZ8wwREck8613PkJk
Ed Sheeran,Shape of You,7qiZfU4dY1lWllzX7mPBI3
"DJ Snake, Justin Bieber",Let Me Love You,0lYBSQXN6rCTvUZvg9S0lU
The Script,The Man Who Can't Be Moved,3nqqDo8CcCLke3ZoTgiOKf
Harry Styles,Aperture,45Z3m6yazmAi4jZuW0tzW0
Zara Larsson,Midnight Sun,1qRV1dKLOfH1s00b9J2LUQ
Lana Del Rey,Cinnamon Girl,2mdEsXPu8ZmkHRRtAdC09e
Tyla,CHANEL,4VxTzYm00mg82MuoT35Ja7
The Weeknd,Blinding Lights,0VjIjW4GlUZAMYd2vXMi3b
Tame Impala,Dracula,1NXbNEAcPvY5G1xvfN57aA
Nirvana,Smells Like Teen Spirit,0gucTLf7trAf37Ua1uAyAu
"Tame Impala, JENNIE",Dracula - JENNIE Remix,5yvVYFDUpbnjcnRBgjwTzM
"Pitbull, AFROJACK, Ne-Yo, Nayer",Give Me Everything (feat. Nayer),4QNpBfC0zvjKqPJcyqBy9W
"Tyler, The Creator, Kali Uchis",See You Again (feat. Kali Uchis),7KA4W4McWYRpgf0fWsJZWB
"Kendrick Lamar, SZA",luther (with sza),2CGNAOSuO1MEFCbBRgUzjd
Don Toliver,No Pole,0eaVIYo2zeOaGJeqZ5TwYz
Justin Bieber,DAISIES,5BZsQlgw21vDOAjoqkNgKb
"Shakira, Wyclef Jean",Hips Don't Lie (feat. Wyclef Jean),3d0WouFnFmr0K3kjeza3fF
Keane,Somewhere Only We Know,0ll8uFnc0nANY35E0Lfxvg
Rihanna,Only Girl (In The World),2ENexcMEMsYk0rVJigVD3i
Rihanna,Don't Stop The Music,1Jo0Zg7XlrA6z0mFTZVdkn
Kehlani,Folded,0bxPRWprUVpQK0UFcddkrA
Eminem,Without Me,7lQ8MOhq6IN2w8EYcFNSUk
OneRepublic,Counting Stars,2tpWsVSb9UEmDRxAl1zhX1
TOTO,Africa,2374M0fQpWi3dLnB54qaLX
Linkin Park,Numb,2nLtzopw4rPReszdYBJU6h
Lana Del Rey,Young And Beautiful,2nMeu6UenVvwUktBCpLMK9
Ed Sheeran,Perfect,0tgVpDi06FyKpA1z0VMD4v
