rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
161,"spotify:track:5SMdW9cbM4wTMMPI8Ck08a","Fito y Fitipaldis","Me equivocaría otra vez","DRO/Spain",133,168,26,"424179"
162,"spotify:track:7qjZnBKE73H4Oxkopwulqe","sombr","back to friends","Warner Records",103,150,30,"423030"
163,"spotify:track:2PaETSKl3w3IdtLIbDnQXJ","Los Delinqüentes","El aire de la calle","Parlophone Spain",117,185,14,"420828"
164,"spotify:track:67LKV40NfSSGIJnm0xz6fi","Quevedo, Pitbull","MR. MOONDIAL","2024 DQE Productions Distribuido por RIMAS Entertainment",6,170,64,"414643"
165,"spotify:track:17phhZDn6oGtzMe56NuWvj","Teddy Swims","Lose Control","Warner Records",64,179,102,"413607"
166,"spotify:track:482PEx8hfMHSsuGtHd960A","Kapo","OHNANA","Sony Music Latin/La Industria",2,160,84,"413488"
167,"spotify:track:0G2zPzWqVjR68iNPmx2TBe","Mora, Bad Bunny, Sech","Volando - Remix","Rimas Entertainment LLC",3,176,146,"411037"
168,"spotify:track:5PycBIeabfvX3n9ILG7Vrv","Romeo Santos","Propuesta Indecente","Sony Music Latin",127,157,41,"410997"
169,"spotify:track:4ORvXsPK9AJmDzm36BYcdy","ROSALÍA","Reliquia","Columbia",2,161,17,"409354"
170,"spotify:track:63zeT81t627KKfZsC920QN","JC Reyes, Pirlo","REMEDIO","JC Reyes",18,167,41,"407961"
171,"spotify:track:2ANtIUI9cipWNI685VdlZb","Pablo Chill-E","Resentia","G STARR ENT",19,186,41,"407602"
172,"spotify:track:5WEF0icHWmAZBBMglBd599","Bad Bunny, Chuwi","WELTiTA","Rimas Entertainment LLC.",7,134,39,"404215"
173,"spotify:track:7k3qWn8D43a5ISa3x8lJux","Anuel AA","¿Qué Nos Pasó?","Real Hasta La Muerte, LLC",49,195,59,"402377"
174,"spotify:track:6Qyc6fS4DsZjB2mRW9DsQs","The Goo Goo Dolls","Iris","Warner Records",148,180,21,"401784"
175,"spotify:track:6VfL3MEuYeJbDlD8m011HR","Beéle","quédate","5020 Records",74,173,40,"401737"
176,"spotify:track:4DEdfr4plBy97DH4YPg4At","Siloé","Si Me Necesitas, Llámame","La Niebla Records",113,188,25,"401128"
177,"spotify:track:7cVS9dvpA6p2dIVibiGaso","Omar Courtz, BASSYY","GANTEL y BELLAKz","Rimas Entertainment LLC.",74,74,2,"400253"
178,"spotify:track:68nZjz3bLH1MM0cURT1YVH","Sebastian Yatra, Manuel Turizo, Beéle","Vagabundo","Universal Music Latino",3,175,145,"399607"
179,"spotify:track:5xSt1wxZobFcLzHrFakv6z","SAIKO","COSAS QUE NO TE DIJE","WM Spain",9,189,112,"397919"
180,"spotify:track:1V6EjrslcQOQrKgjrUvgi1","Eflexx, D.Valentino, Enry-K","Tititi","ATIQUA",148,148,2,"395784"
181,"spotify:track:3k3NWokhRRkEPhCzPmV8TW","Bad Bunny, Bomba Estéreo","Ojitos Lindos","Rimas Entertainment LLC",2,163,138,"395455"
182,"spotify:track:4AL4EamHEBKPpdcFRkYdXN","Lauta, Amigo de Artistas, Tote","Puñaladas","LEB Records",166,166,2,"394623"
183,"spotify:track:3jKrhSKDKOUlKYpNL12zjb","LAJA","SETEADORA","Encore Recordings",37,162,32,"391810"
184,"spotify:track:4MjDJD8cW7iVeWInc2Bdyj","Bad Bunny","MONACO","Rimas Entertainment LLC",1,145,28,"390860"
