rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
16,"spotify:track:1XZE0InCx3SdCnLpVsPpZl","LBI利比","Jumping Machine (跳楼机)","Sony Music Entertainment",1,10,57,"169671"
17,"spotify:track:1qbmS6ep2hbBRaEZFpn7BX","Olivia Dean","Man I Need","PLG - Capitol",10,11,28,"166760"
18,"spotify:track:3yWuTOYDztXjZxdE2cIRUa","Taylor Swift","Opalite","Taylor Swift",3,13,22,"162226"
19,"spotify:track:6DH13QYXK7lKkYHSU88N48","Daniel Caesar","Who Knows","Republic Records",12,14,19,"156011"
20,"spotify:track:7d6eShN6yVeR4Y2Md9uCA4","张远","看着我的眼睛说","一寸光年",7,17,40,"154157"
21,"spotify:track:2gYTC8DsplN3RNdpdBcCOQ","SIENNA SPIRO","Die On This Hill","Capitol Records",8,16,12,"150815"
22,"spotify:track:3sK8wGT43QFpWrvNQsrQya","Bad Bunny","DtMF","Rimas Entertainment LLC.",3,9,9,"149407"
23,"spotify:track:3oTuTpF1F3A7rEC6RKsMRz","Dave, Tems","Raindance (feat. Tems)","Neighbourhood",19,19,11,"147586"
24,"spotify:track:0WA27lZzPKFJKAbiDRmQDc","Hearts2Hearts","RUDE!","SM Entertainment",24,38,2,"143438"
25,"spotify:track:0fK7ie6XwGxQTIkpFoWkd1","JENNIE","like JENNIE","OA Entertainment/Columbia",2,18,52,"140274"
26,"spotify:track:7so0lgd0zP2Sbgs2d7a1SZ","Lady Gaga, Bruno Mars","Die With A Smile","Interscope Records",1,23,81,"140188"
27,"spotify:track:55lijDD6OAjLFFUHU9tcDm","RAYE","WHERE IS MY HUSBAND!","Human Re Sources",12,22,24,"136061"
28,"spotify:track:7m0duH1vdTNxM2g8BLfR0F","BLACKPINK","Fxxxboy","YG Entertainment",28,-1,1,"135484"
29,"spotify:track:5MXcM263QvCTWriH3nVusc","BLACKPINK","Me and my","YG Entertainment",29,-1,1,"134730"
30,"spotify:track:6vDVu9IM9s8L8XMQ1c1Yti","Madison Beer","bittersweet","Epic/Sing It Loud",8,15,20,"131194"
31,"spotify:track:1rIKgCH4H52lrvDcz50hS8","Zara Larsson","Lush Life","Epic/Record Company TEN",13,28,30,"130172"
32,"spotify:track:6dOtVTDdiauQNBQEDOtlAB","Billie Eilish","BIRDS OF A FEATHER","Darkroom/Interscope Records",1,25,94,"129677"
33,"spotify:track:4WFgvKVfEhb3IUAFGrutTR","Ravyn Lenae","Love Me Not","Atlantic Records",18,30,50,"129409"
34,"spotify:track:5yvVYFDUpbnjcnRBgjwTzM","Tame Impala, JENNIE","Dracula - JENNIE Remix","Columbia",34,34,4,"126476"
35,"spotify:track:7tICCrK3CcyRFKza7yrR0z","sombr","Homewrecker","Warner Records",27,27,4,"125937"
